Név;Dátum;Utolsó ár
BUX;2017. január 2.;32099.053584
BUX;2017. január 3.;32169.130248
BUX;2017. január 4.;32649.042273
BUX;2017. január 5.;32749.996822
BUX;2017. január 6.;32855.865533
BUX;2017. január 9.;32854.25949
BUX;2017. január 10.;33031.534712
BUX;2017. január 11.;32972.200465
BUX;2017. január 12.;32966.422232
BUX;2017. január 13.;32949.771999
BUX;2017. január 16.;32996.943142
BUX;2017. január 17.;32782.255919
BUX;2017. január 18.;32841.253496
BUX;2017. január 19.;32709.083509
BUX;2017. január 20.;32881.920343
BUX;2017. január 23.;32906.47716
BUX;2017. január 24.;32690.234953
BUX;2017. január 25.;32807.714317
BUX;2017. január 26.;32918.465067
BUX;2017. január 27.;32714.578766
BUX;2017. január 30.;32476.712688
BUX;2017. január 31.;32481.293983
BUX;2017. február 1.;32584.177108
BUX;2017. február 2.;32575.161192
BUX;2017. február 3.;32905.890418
BUX;2017. február 6.;32388.911331
BUX;2017. február 7.;32539.533828
BUX;2017. február 8.;32595.916129
BUX;2017. február 9.;32949.082691
BUX;2017. február 10.;33156.086848
BUX;2017. február 13.;33356.193864
BUX;2017. február 14.;33724.518066
BUX;2017. február 15.;33981.500428
BUX;2017. február 16.;33745.023495
BUX;2017. február 17.;33828.856727
BUX;2017. február 20.;33973.591956
BUX;2017. február 21.;34324.987186
BUX;2017. február 22.;34112.890141
BUX;2017. február 23.;33548.541005
BUX;2017. február 24.;32886.032767
BUX;2017. február 27.;32872.112839
BUX;2017. február 28.;32061.327192
BUX;2017. március 1.;33343.051688
BUX;2017. március 2.;33155.186638
BUX;2017. március 3.;33193.806079
BUX;2017. március 6.;33181.490056
BUX;2017. március 7.;32442.199093
BUX;2017. március 8.;32547.368736
BUX;2017. március 9.;32986.857421
BUX;2017. március 10.;32727.243005
BUX;2017. március 13.;32686.299158
BUX;2017. március 14.;32636.1765
BUX;2017. március 16.;33049.440984
BUX;2017. március 17.;32778.000869
BUX;2017. március 20.;32357.877691
BUX;2017. március 21.;32044.127615
BUX;2017. március 22.;31827.129201
BUX;2017. március 23.;32127.885968
BUX;2017. március 24.;32097.090775
BUX;2017. március 27.;31876.219486
BUX;2017. március 28.;32294.030047
BUX;2017. március 29.;32232.947843
BUX;2017. március 30.;32144.672832
BUX;2017. március 31.;31634.264205
BUX;2017. április 3.;31788.401837
BUX;2017. április 4.;31951.943804
BUX;2017. április 5.;32405.131987
BUX;2017. április 6.;32553.528265
BUX;2017. április 7.;32600.342059
BUX;2017. április 10.;32468.295858
BUX;2017. április 11.;32199.151725
BUX;2017. április 12.;32409.943829
BUX;2017. április 13.;32622.403595
BUX;2017. április 18.;32521.579407
BUX;2017. április 19.;32688.094371
BUX;2017. április 20.;32955.020673
BUX;2017. április 21.;32969.438027
BUX;2017. április 24.;33226.463256
BUX;2017. április 25.;33519.073616
BUX;2017. április 26.;33198.934194
BUX;2017. április 27.;32959.618676
BUX;2017. április 28.;32956.300552
BUX;2017. május 2.;32902.616304
BUX;2017. május 3.;32077.717186
BUX;2017. május 4.;32289.850368
BUX;2017. május 5.;32864.042109
BUX;2017. május 8.;32844.670711
BUX;2017. május 9.;33509.985224
BUX;2017. május 10.;33666.279914
BUX;2017. május 11.;33858.880842
BUX;2017. május 12.;34435.531597
BUX;2017. május 15.;34462.022466
BUX;2017. május 16.;34078.468694
BUX;2017. május 17.;34146.487564
BUX;2017. május 18.;34528.85063
BUX;2017. május 19.;34835.798119
BUX;2017. május 22.;34875.750133
BUX;2017. május 23.;34730.940456
BUX;2017. május 24.;34251.206552
BUX;2017. május 25.;34349.107892
BUX;2017. május 26.;34358.933829
BUX;2017. május 29.;34138.105781
BUX;2017. május 30.;34321.141046
BUX;2017. május 31.;34551.902073
BUX;2017. június 1.;34762.464979
BUX;2017. június 2.;35150.438452
BUX;2017. június 6.;34926.993561
BUX;2017. június 7.;35021.751489
BUX;2017. június 8.;35270.945664
BUX;2017. június 9.;35411.005229
BUX;2017. június 12.;35334.476877
BUX;2017. június 13.;35588.701625
BUX;2017. június 14.;35985.8228
BUX;2017. június 15.;35534.500796
BUX;2017. június 16.;35512.470308
BUX;2017. június 19.;35948.411671
BUX;2017. június 20.;35989.688342
BUX;2017. június 21.;35945.226687
BUX;2017. június 22.;35779.269063
BUX;2017. június 23.;35599.50913
BUX;2017. június 26.;35739.108785
BUX;2017. június 27.;35645.770584
