Név;Dátum;Utolsó ár;Mennyiség
MOL;2017. január 2.;258348;133456.0
MOL;2017. január 3.;260175;412088.0
MOL;2017. január 4.;2648.125;1232368.0
MOL;2017. január 5.;2630.625;996112.0
MOL;2017. január 6.;2623.125;811736.0
MOL;2017. január 9.;2625.0;808808.0
MOL;2017. január 10.;2621.25;890472.0
MOL;2017. január 11.;256522;1068040.0
MOL;2017. január 12.;2625.0;1413728.0
MOL;2017. január 13.;2625.0;628824.0
MOL;2017. január 16.;2625.0;346232.0
MOL;2017. január 17.;2610.0;352536.0
MOL;2017. január 18.;271132;659184.0
MOL;2017. január 19.;2596.875;947760.0
MOL;2017. január 20.;2606.25;484536.0
MOL;2017. január 23.;262001;492992.0
MOL;2017. január 24.;2550.625;841448.0
MOL;2017. január 25.;2533.125;934408.0
MOL;2017. január 26.;240087;352624.0
MOL;2017. január 27.;232782;518656.0
MOL;2017. január 30.;2540.0;798936.0
MOL;2017. január 31.;2531.25;790352.0
MOL;2017. február 1.;225477;963832.0
MOL;2017. február 2.;2500.0;1063464.0
MOL;2017. február 3.;2549.375;711176.0
MOL;2017. február 6.;232782;635192.0
MOL;2017. február 7.;2525.0;863928.0
MOL;2017. február 8.;2526.25;574952.0
MOL;2017. február 9.;2556.25;751960.0
MOL;2017. február 10.;2556.25;587176.0
MOL;2017. február 13.;2556.25;477640.0
MOL;2017. február 14.;2556.875;1324592.0
MOL;2017. február 15.;251044;872744.0
MOL;2017. február 16.;2625.0;1480376.0
MOL;2017. február 17.;2591.25;884504.0
MOL;2017. február 20.;2600.0;134944.0
MOL;2017. február 21.;2645.0;972872.0
MOL;2017. február 22.;2628.125;494448.0
MOL;2017. február 23.;260175;753192.0
MOL;2017. február 24.;2608.125;834552.0
MOL;2017. február 27.;2605.0;378216.0
MOL;2017. február 28.;2493.75;1808544.0
MOL;2017. március 1.;2620.0;1135008.0
MOL;2017. március 2.;247392;1196504.0
MOL;2017. március 3.;251044;395976.0
MOL;2017. március 6.;2598.75;563696.0
MOL;2017. március 7.;2511.25;1100248.0
MOL;2017. március 8.;225477;1231888.0
MOL;2017. március 9.;2595.625;974928.0
MOL;2017. március 10.;2574.375;761040.0
MOL;2017. március 13.;2581.25;569432.0
MOL;2017. március 14.;262001;2733520.0
MOL;2017. március 16.;2621.875;885208.0
MOL;2017. március 17.;2625.0;1309912.0
