Név;Dátum;Utolsó ár;Mennyiség
OTP;2017. január 2.;8399.0;48720.0
OTP;2017. január 3.;8455.0;281918.0
OTP;2017. január 4.;8621.0;592955.0
OTP;2017. január 5.;8600.0;349915.0
OTP;2017. január 6.;8601.0;243794.0
OTP;2017. január 9.;8650.0;205539.0
OTP;2017. január 10.;8742.0;507571.0
OTP;2017. január 11.;8760.0;507360.0
OTP;2017. január 12.;8760.0;364106.0
OTP;2017. január 13.;8890.0;645194.0
OTP;2017. január 16.;8858.0;147553.0
OTP;2017. január 17.;8799.0;297961.0
OTP;2017. január 18.;8806.0;338892.0
OTP;2017. január 19.;8799.0;284405.0
OTP;2017. január 20.;8770.0;277642.0
OTP;2017. január 23.;8816.0;329588.0
OTP;2017. január 24.;8850.0;167161.0
OTP;2017. január 25.;8936.0;432722.0
OTP;2017. január 26.;8950.0;393907.0
OTP;2017. január 27.;8900.0;315647.0
OTP;2017. január 30.;8816.0;319838.0
OTP;2017. január 31.;8825.0;332298.0
OTP;2017. február 1.;8900.0;385835.0
OTP;2017. február 2.;8865.0;272851.0
OTP;2017. február 3.;8858.0;180791.0
OTP;2017. február 6.;8770.0;224219.0
OTP;2017. február 7.;8800.0;261336.0
OTP;2017. február 8.;8840.0;457779.0
OTP;2017. február 9.;8901.0;553355.0
OTP;2017. február 10.;8975.0;514989.0
OTP;2017. február 13.;9100.0;383796.0
OTP;2017. február 14.;9226.0;348651.0
OTP;2017. február 15.;9271.0;418995.0
OTP;2017. február 16.;9079.0;506041.0
OTP;2017. február 17.;9201.0;453415.0
OTP;2017. február 20.;9296.0;124358.0
OTP;2017. február 21.;9396.0;401470.0
OTP;2017. február 22.;9341.0;258069.0
OTP;2017. február 23.;8990.0;1228482.0
OTP;2017. február 24.;8735.0;1172183.0
OTP;2017. február 27.;8740.0;769014.0
OTP;2017. február 28.;8450.0;1045936.0
OTP;2017. március 1.;8860.0;722912.0
OTP;2017. március 2.;8950.0;487761.0
OTP;2017. március 3.;8950.0;510891.0
OTP;2017. március 6.;8910.0;280026.0
OTP;2017. március 7.;8655.0;714384.0
OTP;2017. március 8.;8600.0;488188.0
OTP;2017. március 9.;8667.0;564530.0
OTP;2017. március 10.;8540.0;666830.0
OTP;2017. március 13.;8500.0;349619.0
OTP;2017. március 14.;8403.0;655430.0
OTP;2017. március 16.;8705.0;802769.0
OTP;2017. március 17.;8520.0;1476865.0
OTP;2017. március 20.;8330.0;795508.0
OTP;2017. március 21.;8305.0;939920.0
OTP;2017. március 22.;8210.0;698676.0
OTP;2017. március 23.;8300.0;2878039.0
OTP;2017. március 24.;8275.0;396518.0
OTP;2017. március 27.;8170.0;563617.0
OTP;2017. március 28.;8360.0;484007.0
OTP;2017. március 29.;8320.0;495856.0
OTP;2017. március 30.;8248.0;364328.0
OTP;2017. március 31.;8093.0;607167.0
OTP;2017. április 3.;8025.0;797348.0
OTP;2017. április 4.;8000.0;467243.0
OTP;2017. április 5.;8202.0;707721.0
OTP;2017. április 6.;8340.0;422104.0
OTP;2017. április 7.;8375.0;620537.0
OTP;2017. április 10.;8219.0;410594.0
OTP;2017. április 11.;8100.0;397061.0
OTP;2017. április 12.;8104.0;233485.0
OTP;2017. április 13.;8079.0;230567.0
OTP;2017. április 18.;8058.0;307581.0
OTP;2017. április 19.;8141.0;807097.0
OTP;2017. április 20.;8265.0;733917.0
OTP;2017. április 21.;8266.0;371961.0
OTP;2017. április 24.;8363.0;663210.0
OTP;2017. április 25.;8380.0;432599.0
OTP;2017. április 26.;8199.0;551590.0
OTP;2017. április 27.;8040.0;503035.0
OTP;2017. április 28.;8087.0;427215.0
OTP;2017. május 2.;8160.0;358306.0
OTP;2017. május 3.;7850.0;840807.0
OTP;2017. május 4.;7815.0;1152417.0
OTP;2017. május 5.;7935.0;652645.0
OTP;2017. május 8.;7920.0;338178.0
OTP;2017. május 9.;8160.0;522533.0
OTP;2017. május 10.;8285.0;609193.0
OTP;2017. május 11.;8250.0;580550.0
OTP;2017. május 12.;8485.0;1159861.0
OTP;2017. május 15.;8500.0;572821.0
OTP;2017. május 16.;8475.0;637276.0
OTP;2017. május 17.;8720.0;1480170.0
OTP;2017. május 18.;8750.0;704488.0
OTP;2017. május 19.;8905.0;763862.0
OTP;2017. május 22.;8918.0;424615.0
OTP;2017. május 23.;8860.0;272965.0
OTP;2017. május 24.;8663.0;500758.0
OTP;2017. május 25.;8725.0;401365.0
OTP;2017. május 26.;8518.0;443659.0
OTP;2017. május 29.;8440.0;206051.0
OTP;2017. május 30.;8580.0;264844.0
OTP;2017. május 31.;8555.0;709444.0
OTP;2017. június 1.;8654.0;573645.0
OTP;2017. június 2.;8700.0;343103.0
OTP;2017. június 6.;8640.0;381667.0
OTP;2017. június 7.;8730.0;324896.0
OTP;2017. június 8.;8830.0;496030.0
OTP;2017. június 9.;8906.0;435526.0
OTP;2017. június 12.;8949.0;484512.0
OTP;2017. június 13.;9170.0;1141382.0
OTP;2017. június 14.;9300.0;1338139.0
OTP;2017. június 15.;9150.0;1044273.0
OTP;2017. június 16.;9130.0;2076799.0
OTP;2017. június 19.;9280.0;248534.0
OTP;2017. június 20.;9300.0;291359.0
OTP;2017. június 21.;9340.0;536462.0
OTP;2017. június 22.;9283.0;350922.0
OTP;2017. június 23.;9235.0;281125.0
OTP;2017. június 26.;9254.0;585984.0
OTP;2017. június 27.;9285.0;548126.0
OTP;2017. június 28.;9200.0;481492.0
OTP;2017. június 29.;9130.0;586528.0
OTP;2017. június 30.;9050.0;403904.0
OTP;2017. július 3.;9000.0;492184.0
OTP;2017. július 4.;9090.0;241955.0
OTP;2017. július 5.;9375.0;828277.0
OTP;2017. július 6.;9505.0;949871.0
OTP;2017. július 7.;9505.0;524204.0
OTP;2017. július 10.;9575.0;356712.0
OTP;2017. július 11.;9510.0;235810.0
OTP;2017. július 12.;9565.0;564438.0
OTP;2017. július 13.;9599.0;331482.0
OTP;2017. július 14.;9552.0;335745.0
OTP;2017. július 17.;9622.0;231346.0
OTP;2017. július 18.;9590.0;237515.0
OTP;2017. július 19.;9619.0;122701.0
OTP;2017. július 20.;9330.0;419687.0
OTP;2017. július 21.;9440.0;638988.0
OTP;2017. július 24.;9310.0;149562.0
OTP;2017. július 25.;9320.0;255711.0
OTP;2017. július 26.;9448.0;289672.0
OTP;2017. július 27.;9525.0;144953.0
OTP;2017. július 28.;9500.0;156850.0
OTP;2017. július 31.;9560.0;287131.0
OTP;2017. augusztus 1.;9580.0;234261.0
OTP;2017. augusztus 2.;9692.0;736052.0
OTP;2017. augusztus 3.;9800.0;377211.0
OTP;2017. augusztus 4.;9815.0;192304.0
OTP;2017. augusztus 7.;9949.0;331817.0
OTP;2017. augusztus 8.;9930.0;185794.0
OTP;2017. augusztus 9.;9890.0;301063.0
OTP;2017. augusztus 10.;9930.0;345243.0
OTP;2017. augusztus 11.;10000.0;621037.0
OTP;2017. augusztus 14.;9920.0;367970.0
OTP;2017. augusztus 15.;9930.0;199813.0
OTP;2017. augusztus 16.;9982.0;261172.0
OTP;2017. augusztus 17.;10115.0;713525.0
OTP;2017. augusztus 18.;10030.0;467519.0
OTP;2017. augusztus 21.;10015.0;265151.0
OTP;2017. augusztus 22.;10335.0;600793.0
OTP;2017. augusztus 23.;10345.0;426892.0
OTP;2017. augusztus 24.;10400.0;497811.0
OTP;2017. augusztus 25.;10400.0;283914.0
OTP;2017. augusztus 28.;10440.0;245382.0
OTP;2017. augusztus 29.;10460.0;790421.0
OTP;2017. augusztus 30.;10465.0;404913.0
OTP;2017. augusztus 31.;10445.0;419588.0
OTP;2017. szeptember 1.;10280.0;238936.0
OTP;2017. szeptember 4.;10255.0;191751.0
OTP;2017. szeptember 5.;10375.0;305393.0
OTP;2017. szeptember 6.;10450.0;295974.0
OTP;2017. szeptember 7.;10310.0;332547.0
OTP;2017. szeptember 8.;10250.0;382617.0
OTP;2017. szeptember 11.;10315.0;255726.0
OTP;2017. szeptember 12.;10390.0;210730.0
OTP;2017. szeptember 13.;10375.0;302011.0
OTP;2017. szeptember 14.;10435.0;323953.0
OTP;2017. szeptember 15.;10325.0;671703.0
OTP;2017. szeptember 18.;10390.0;148445.0
OTP;2017. szeptember 19.;10245.0;542782.0
OTP;2017. szeptember 20.;10210.0;274730.0
OTP;2017. szeptember 21.;10200.0;453175.0
OTP;2017. szeptember 22.;10195.0;432976.0
OTP;2017. szeptember 25.;10175.0;223709.0
OTP;2017. szeptember 26.;9710.0;1619255.0
OTP;2017. szeptember 27.;9650.0;1048807.0
OTP;2017. szeptember 28.;9863.0;793206.0
OTP;2017. szeptember 29.;9895.0;706547.0
OTP;2017. október 2.;10070.0;562920.0
OTP;2017. október 3.;10150.0;393716.0
OTP;2017. október 4.;10215.0;396466.0
OTP;2017. október 5.;10240.0;322741.0
