Név;Dátum;Utolsó ár;Mennyiség
RICHTER;2017. január 2.;6191.0;81546.0
RICHTER;2017. január 3.;6150.0;479611.0
RICHTER;2017. január 4.;6225.0;449248.0
RICHTER;2017. január 5.;6399.0;1040863.0
RICHTER;2017. január 6.;6489.0;556285.0
RICHTER;2017. január 9.;6434.0;223728.0
RICHTER;2017. január 10.;6448.0;478136.0
RICHTER;2017. január 11.;6451.0;824517.0
RICHTER;2017. január 12.;6403.0;258192.0
RICHTER;2017. január 13.;6274.0;402365.0
RICHTER;2017. január 16.;6318.0;146602.0
RICHTER;2017. január 17.;6280.0;294543.0
RICHTER;2017. január 18.;6205.0;264715.0
RICHTER;2017. január 19.;6251.0;255176.0
RICHTER;2017. január 20.;6380.0;334043.0
RICHTER;2017. január 23.;6330.0;125344.0
RICHTER;2017. január 24.;6269.0;225282.0
RICHTER;2017. január 25.;6290.0;145547.0
RICHTER;2017. január 26.;6315.0;174492.0
RICHTER;2017. január 27.;6265.0;143202.0
RICHTER;2017. január 30.;6171.0;356495.0
RICHTER;2017. január 31.;6183.0;260254.0
RICHTER;2017. február 1.;6210.0;220652.0
RICHTER;2017. február 2.;6307.0;485682.0
RICHTER;2017. február 3.;6430.0;486066.0
RICHTER;2017. február 6.;6161.0;912031.0
RICHTER;2017. február 7.;6249.0;301670.0
RICHTER;2017. február 8.;6273.0;259446.0
RICHTER;2017. február 9.;6380.0;306994.0
RICHTER;2017. február 10.;6480.0;656142.0
RICHTER;2017. február 13.;6492.0;279558.0
RICHTER;2017. február 14.;6640.0;512547.0
RICHTER;2017. február 15.;6682.0;444045.0
RICHTER;2017. február 16.;6600.0;367354.0
RICHTER;2017. február 17.;6640.0;166073.0
RICHTER;2017. február 20.;6630.0;63011.0
RICHTER;2017. február 21.;6679.0;213840.0
RICHTER;2017. február 22.;6606.0;229818.0
RICHTER;2017. február 23.;6680.0;455586.0
RICHTER;2017. február 24.;6511.0;402921.0
